2001:470:1c:76d::53                      # dns.cmrg.net
2001:470:28:286:1::                      # ns.trcnet.fi
2001:470:28:287:1::                      # ns.trcnet.fi
2001:470:28:aa2:1::                      # ns.trcnet.fi
2001:470:36:3fc:0:feed:dad:b055          # dns.repinger.com
2001:470:1f15:b80::53                    # opennic.i2pd.xyz
2001:470:f829:8593:3::7                  # doh.max.net.id
2001:558:fe21:6b:96:113:151:145          # dot.xfinity.com
2001:578:3f::30                          # dot.cox.net
2001:610:1:40ba:145:100:185:15           # dnsovertls.sinodun.com
2001:638:708:20::20                      # ines.zfn.uni-bremen.de
2001:678:84::                            # doh.nic.lv
2001:678:888:1:53::1                     # dns.flatuslifir.is
2001:678:888:300:69::1                   # dns.flatuslifir.is
2001:678:888:300:123::1                  # dns.flatuslifir.is
2001:678:888:300:1234:5678::             # dns.flatuslifir.is
2001:678:ed0:f000::                      # doh.ffmuc.net
2001:67c:bec:b:43a:1aff:feb1:eb5d        # cph01.dnscry.pt
2001:67c:1400:800:53::2                  # dns2.in-berlin.de
2001:67c:1401:2120::1                    # dns.artikel10.org
2001:67c:21ec::53                        # dnscache.e-utp.net
2001:67c:2354:2::53                      # dns.njal.la
2001:67c:28a4::                          # anycast.censurfridns.dk, anycast.uncensoreddns.org
2001:6a8:3c80::16                        # dns.belnet.be
2001:6a8:3c80:c000::53                   # dns.belnet.be
2001:780:250:100::beaf                   # dns.lars-lehmann.net
2001:878:0:e000:82:e1:f4:a6              # deic-lgb.anycast.censurfridns.dk, deic-lgb.anycast.uncensoreddns.org
2001:878:0:e000:82:e2:a1:22              # deic-ore.anycast.censurfridns.dk, deic-ore.anycast.uncensoreddns.org
2001:8a0:dfeb:8100::2                    # dns.qrtz.club
2001:8b0::2022                           # dns.aa.net.uk
2001:8b0::2023                           # dns.aa.net.uk
2001:8b0:24:24::24                       # dns-tls.bitwiseshift.net
2001:8b0:836:900:978f:88ff:f46c:bd67     # dns.neilzone.co.uk
2001:9e8:4003:acb:6b4:feff:fe9b:eb1d     # area51.mywire.org
2001:9e8:4003:be5b:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4003:d7a4:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4003:f2fe:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4039:7761:21a:8cff:fe43:9654    # adguard.bitteeinbyte.de
2001:a18:1::29                           # dnspub.restena.lu
2001:a60::53:1                           # dns.mnet-online.de
2001:a60::53:2                           # dns.mnet-online.de
2001:ba0:27f:2e00::1                     # dns.mateo.ovh
2001:de4::101                            # dns.twnic.tw
2001:de4::102                            # dns.twnic.tw
2001:df1:801:a022::c4:a                  # hkg01.dnscry.pt
2001:df2:d40:29::2                       # isb01.dnscry.pt
2001:df4:1840:9f::a                      # jhb01.dnscry.pt
2001:df4:adc1:31::a                      # dns.hakim.one
