2001:470:1c:76d::53                      # dns.cmrg.net
2001:470:26:7c::195                      # ibksturm.synology.me
2001:470:36:3fc:0:feed:dad:b055          # dns.repinger.com
2001:470:71:6dc::53                      # opennic2.i2pd.xyz
2001:470:f829:8593:3::7                  # doh.max.net.id
2001:550:5a00:5eb::db5:face              # rdu01.dnscry.pt
2001:558:fd00:ca::5                      # doh2.gslb2.xfinity.com
2001:578:3f::30                          # doh.cox.net
2001:620:0:ff::5c                        # switch.ch
2001:678:ed0:f000::                      # doh.ffmuc.net
2001:67c:bec:b:43a:1aff:feb1:eb5d        # cph01.dnscry.pt
2001:67c:1400:800:53::1                  # dns1.in-berlin.de
2001:67c:1401:2120::1                    # dns.artikel10.org
2001:67c:2354:2::53                      # dns.njal.la
2001:67c:28a4::                          # anycast.censurfridns.dk, anycast.uncensoreddns.org
2001:6a8:3c80::16                        # dns.belnet.be
2001:6a8:3c80:c000::53                   # dns.belnet.be
2001:780:250:100::beaf                   # dns.lars-lehmann.net
2001:878:0:e000:82:e1:f4:a6              # deic-lgb.anycast.censurfridns.dk, deic-lgb.anycast.uncensoreddns.org
2001:878:0:e000:82:e2:a1:22              # deic-ore.anycast.censurfridns.dk, deic-ore.anycast.uncensoreddns.org
2001:8b0::2022                           # dns.aa.net.uk
2001:8b0::2023                           # dns.aa.net.uk
2001:8b0:24:24::24                       # dns-tls.bitwiseshift.net
2001:8b0:836:900:978f:88ff:f46c:bd67     # dns.neilzone.co.uk
2001:910:800::12                         # ns0.fdn.fr
2001:9e8:4003:1fe0:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4003:3702:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4003:4d12:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4003:63f0:6b4:feff:fe9b:eb1d    # area51.mywire.org
2001:9e8:4039:7761:21a:8cff:fe43:9654    # adguard.bitteeinbyte.de
2001:a18:1::29                           # dnspub.restena.lu
2001:a60::53:1                           # dns.mnet-online.de
2001:a60::53:2                           # dns.mnet-online.de
2001:ba0:27f:2e00::1                     # dns.mateo.ovh
2001:bc8:255e:100::1                     # dns.novg.net
2001:bc8:255e:200::1                     # dns.novg.net
2001:df4:adc1:31::a                      # dns.hakim.one
2001:df7:5300:15::dc                     # puredns.org
2001:df7:5300:18::64f                    # puredns.org
2001:e68:5040:a7da:d8e7:f548:508b:6346   # fwgw.orangepipc.mywire.org
